

Table: Average Delivery Pace by Time of Day Across All Cities and Years

city       dow    city_avg_pace_dow   years_count   min_pace   max_pace
---------  ----  ------------------  ------------  ---------  ---------
Freetown   Sun             39.77896             5   23.25000   53.36364
Freetown   Mon             65.22964             5   58.41636   73.72685
Freetown   Tue             64.54989             5   59.47176   71.77165
Freetown   Wed             65.26405             5   59.04893   70.59846
Freetown   Thu             63.85267             5   59.08125   67.73477
Freetown   Fri             64.43643             5   57.88015   68.32143
Freetown   Sat             64.11051             5   57.50000   69.69406
Kenema     Sun             49.50000             1   49.50000   49.50000
Kenema     Mon             50.11152             2   38.79730   61.42574
Kenema     Tue             40.36785             2   37.72917   43.00654
Kenema     Wed             33.69489             2   21.03030   46.35948
Kenema     Thu             53.74452             2   45.69595   61.79310
Kenema     Fri             40.00193             2   36.33962   43.66423
Kenema     Sat             27.62739             2   21.73529   33.51948
Makeni     Sun             13.80000             1   13.80000   13.80000
Makeni     Mon             43.56977             1   43.56977   43.56977
Makeni     Tue             48.65823             1   48.65823   48.65823
Makeni     Wed             29.22078             1   29.22078   29.22078
Makeni     Thu             27.43624             1   27.43624   27.43624
Makeni     Fri             36.30097             1   36.30097   36.30097
Makeni     Sat             23.41333             1   23.41333   23.41333
